CD_NOM,CD_REF,NOM_SCIENTIFIQUE,L,T,C,HA,HE,R,N,S,Tx,MO
99326,99326,"Galeopsis reuteri Rchb.f., 1858",8,8,3,5,4,8,4,0,7,3
136802,136802,"Iberis carnosa subsp. carnosa Willd., 1800",7,1,3,5,5,8,3,0,2,1
103431,103431,"Iberis carnosa Willd., 1800",7,1,3,5,5,8,3,0,2,1
106144,106144,"Linaria alpina (L.) Mill., 1768",9,3,4,5,4,8,2,0,6,3
116339,116339,"Ptychotis saxifraga (L.) Loret & Barrandon, 1876",8,5,5,4,4,8,3,0,3,1
82796,82796,"Antennaria dioica (L.) Gaertn., 1791",8,4,5,5,4,3,2,0,4,4
82922,82922,"Anthoxanthum odoratum L., 1753",7,5,5,5,5,4,4,0,4,4
83874,83874,"Arnica montana L., 1753",9,3,4,6,5,3,2,0,3,5
86183,86183,"Botrychium lunaria (L.) Sw., 1801",8,4,5,5,4,3,2,0,4,5
88415,88415,"Carex caryophyllea Latourr., 1785",7,5,4,5,4,4,3,0,4,4
88499,88499,"Carex ericetorum Pollich, 1777",7,5,7,5,4,3,2,0,4,5
89653,89653,"Centaurea nigra L., 1753",7,3,5,5,5,4,4,0,4,4
94728,94728,"Dianthus deltoides L., 1753",7,2,5,4,4,3,2,0,4,4
133835,133835,"Dianthus deltoides subsp. deltoides L., 1753",7,2,5,4,4,3,2,0,4,4
97776,97776,"Euphrasia nemorosa (Pers.) Wallr., 1815",8,4,4,5,5,4,1,0,4,4
98278,98278,"Festuca heteromalla Pourr., 1788",8,5,5,5,5,5,5,0,4,4
98404,98404,"Festuca nigrescens Lam., 1788",7,5,4,5,5,3,2,0,4,4
134619,134619,"Festuca rubra subsp. juncea (Hack.) K.Richt., 1890",8,3,4,5,6,3,1,0,4,5
717232,717232,"Hieracium chenopodioides Arv.-Touv., 1913",7,6,5,5,5,3,3,0,4,4
101987,101987,"Hieracium fragile Jord., 1849",6,5,6,5,5,3,3,0,4,4
106842,106842,"Luzula multiflora (Ehrh.) Lej., 1811",7,5,4,6,5,4,3,0,4,5
137507,137507,"Luzula multiflora subsp. multiflora (Ehrh.) Lej., 1811",7,5,4,6,5,4,3,0,4,5
109366,109366,"Nardus stricta L., 1753",8,5,5,6,5,2,2,0,4,4
81935,81935,"Alyssum rhodanense Jord. & Fourr., 1868",,,,,,,,,,
86186,86186,"Botrychium matricariifolium (A.Braun ex Döll) W.D.J.Koch, 1845",7,4,4,5,5,3,2,0,4,5
86199,86199,"Botrychium simplex E.Hitchc., 1823",6,4,4,5,5,1,2,0,4,5
88775,88775,"Carex pilulifera L., 1753",5,5,5,4,5,3,3,0,4,5
132790,132790,"Carex pilulifera subsp. pilulifera L., 1753",5,5,5,4,5,3,3,0,4,5
94402,94402,"Danthonia decumbens (L.) DC., 1805",7,6,4,4,5,3,2,0,4,4
133721,133721,"Danthonia decumbens subsp. decumbens (L.) DC., 1805",7,6,4,4,5,3,2,0,4,4
99529,99529,"Galium saxatile L., 1753",6,5,4,5,5,2,3,0,4,4
99982,99982,"Gentianella campestris (L.) Börner, 1912",8,5,5,5,5,4,2,0,4,5
101658,101658,"Hieracium aspernatum Jord. ex Boreau, 1857",6,5,5,5,5,4,3,0,4,4
101681,101681,"Hieracium aviicola Jord. ex Boreau, 1857",6,5,3,5,5,4,3,0,4,4
136210,136210,"Hieracium pallidifrons Sudre, 1900",6,6,3,5,5,4,3,0,4,4
103298,103298,"Hypericum maculatum Crantz, 1763",8,2,7,6,6,3,3,0,3,5
106818,106818,"Luzula campestris (L.) DC., 1805",7,5,5,4,4,3,3,0,4,4
718377,718377,"Luzula campestris subsp. campestris (L.) DC., 1805",7,5,5,4,4,3,3,0,4,4
114589,114589,"Polygala serpyllifolia Hose, 1797",8,4,4,5,5,2,2,0,4,5
115470,115470,"Potentilla erecta (L.) Raeusch., 1797",6,5,5,5,5,4,2,0,3,6
123933,123933,"Sisyrinchium montanum Greene, 1899",8,3,5,5,4,4,2,0,3,4
719173,719173,"Taraxacum cenabense Sahlin, 1983",,,,,,,,,,
80605,80605,"Agrostis curtisii Kerguélen, 1976",8,6,3,4,4,2,2,0,4,5
94748,94748,"Dianthus geminiflorus Loisel., 1807",8,6,3,5,5,3,3,0,3,4
717223,717223,"Helictochloa marginata (Lowe) Romero Zarco, 2011",8,6,3,5,4,3,2,0,4,4
109241,109241,"Narcissus bulbocodium L., 1753",8,6,3,6,5,3,3,0,3,4
137969,137969,"Narcissus bulbocodium subsp. bulbocodium L., 1753",8,6,3,6,5,3,3,0,3,4
717325,717325,"Narcissus gigas (Haw.) Steud., 1841",8,6,3,6,5,3,3,0,3,4
718266,718266,"Patzkea paniculata subsp. longiglumis (Litard.) H.Scholz, 2010",9,2,3,5,5,2,2,0,5,4
116192,116192,"Pseudarrhenatherum longifolium (Thore) Rouy, 1922",8,6,3,5,4,3,2,0,4,4
123708,123708,"Simethis mattiazzii (Vand.) G.López & Jarvis, 1984",7,7,3,6,5,2,2,0,4,5
161785,161785,"Tractema verna (Huds.) Speta, 1998",8,6,3,6,5,2,2,0,6,4
89851,89851,"Centaurium portense (Brot.) Butcher, 1930",8,6,2,6,5,3,4,0,5,4
610785,610785,"Carex stenophylla Wahlenb., 1803",8,7,6,4,5,3,3,0,3,4
97781,97781,"Euphrasia officinalis L., 1753",8,5,3,4,4,4,4,0,3,4
134453,134453,"Euphrasia officinalis subsp. pratensis Schoebl. & G.Martens, 1834",8,5,3,4,4,4,4,0,3,4
99810,99810,"Genista sagittalis L., 1753",8,7,4,5,5,4,2,0,3,4
136751,136751,"Hypericum maculatum subsp. obtusiusculum (Tourlet) Hayek, 1912",7,4,5,5,5,3,3,0,3,5
126310,126310,"Thesium pyrenaicum Pourr., 1788",8,3,4,6,4,4,2,0,3,4
141650,141650,"Thesium pyrenaicum subsp. pyrenaicum Pourr., 1788",8,3,4,6,4,4,2,0,3,4
129529,129529,"Viola canina L., 1753",7,5,4,5,5,3,2,0,3,4
142305,142305,"Viola canina subsp. canina L., 1753",7,5,4,5,5,3,2,0,3,4
88385,88385,"Carex binervis Sm., 1800",7,6,3,6,6,1,1,0,2,6
88626,88626,"Carex leporina L., 1753",7,5,5,6,6,3,3,0,4,5
718664,718664,"Carex leporina var. leporina L., 1753",7,5,5,6,6,3,3,0,4,5
718665,718665,"Carex leporina var. subfestiva Lange, 1860",7,2,5,5,5,3,3,0,4,5
88747,88747,"Carex pallescens L., 1753",7,4,5,6,6,4,3,0,4,4
97771,97771,"Euphrasia micrantha Rchb., 1831",7,4,4,6,6,2,1,0,3,5
99922,99922,"Gentiana pneumonanthe L., 1753",7,5,5,6,7,4,1,0,1,6
136750,136750,"Hypericum maculatum subsp. maculatum Crantz, 1763",8,2,7,6,6,3,3,0,3,5
103299,103299,"Hypericum majus (A.Gray) Britton, 1894",8,7,4,8,8,5,5,0,4,3
103267,103267,"Hypericum x desetangsii Lamotte, 1874",6,5,4,8,7,7,6,0,2,8
718364,718364,"Hypericum x desetangsii nothosubsp. desetangsii Lamotte, 1874",6,5,4,8,7,7,6,0,2,8
104334,104334,"Juncus squarrosus L., 1753",8,5,4,6,6,1,1,0,4,5
106823,106823,"Luzula congesta (Thuill.) Lej., 1811",7,5,4,6,6,1,1,0,4,5
112601,112601,"Pedicularis sylvatica L., 1753",7,5,4,6,7,1,2,0,2,6
138637,138637,"Pedicularis sylvatica subsp. sylvatica L., 1753",7,5,4,6,7,1,2,0,2,6
117946,117946,"Rorippa pyrenaica (All.) Rchb., 1838",8,6,5,7,6,6,5,0,2,3
150615,150615,"Rorippa pyrenaica var. hispanica (Boiss. & Reut.) P.Fourn., 1936",8,7,5,7,6,6,5,0,2,3
613671,613671,"Rorippa pyrenaica var. pyrenaica (All.) Rchb., 1838",8,6,5,7,6,6,5,0,2,3
142317,142317,"Viola canina subsp. ruppii (All.) Schübl. & G.Martens, 1834",7,6,4,6,6,4,1,0,4,5
610789,610789,"Agrostis marysae-tortiae Portal, 2009",7,2,4,5,5,4,3,0,4,5
80988,80988,"Ajuga pyramidalis L., 1753",7,3,4,6,5,1,1,0,3,5
81033,81033,"Alchemilla alpina L., 1753",9,2,4,6,5,2,2,0,3,5
81091,81091,"Alchemilla glaucescens Wallr., 1840",7,3,4,6,5,4,3,0,3,5
81095,81095,"Alchemilla grenieri J.Guillot, 1989",7,3,4,6,5,6,4,0,3,4
81101,81101,"Alchemilla hybrida (L.) L., 1756",7,2,4,7,6,5,5,0,2,8
